# i_sweep, z, m_z
   47,     6, 1.0000
   47,     7, .8000
   47,     8, .7000
   47,     9, .6000
   47,    10, .6000
   47,    11, .9000
   47,    12, 1.0000
   47,    13, 1.0000
   47,    14, 1.0000
   47,    15, .8000
   47,    16, .3000
   47,    17, .0000
   47,    18, -.5000
   47,    19, -.9000
   47,    20, -.9000

   48,     1, .7000
   48,     2, 1.0000
   48,     3, .9000
   48,     4, .5000
   48,     5, .5000
   48,     6, .9000
   48,     7, .9000
   48,     8, .8000
   48,     9, .5000
   48,    10, .9000
   48,    11, .9000
   48,    12, 1.0000
   48,    13, .9000
   48,    14, .8000
   48,    15, .2000
   48,    16, .2000
   48,    17, -.1000
   48,    18, -.6000
   48,    19, -.9000
   48,    20, -.9000

   49,     1, .8000
   49,     2, .9000
   49,     3, .9000
   49,     4, .3000
   49,     5, .6000
   49,     6, 1.0000
   49,     7, .9000
   49,     8, .7000
   49,     9, .5000
   49,    10, .7000
   49,    11, .8000
   49,    12, .9000
   49,    13, .9000
   49,    14, .9000
   49,    15, .4000
   49,    16, .5000
   49,    17, .0000
   49,    18, -.7000
   49,    19, -.7000
   49,    20, -.8000

   50,     1, 1.0000
   50,     2, 1.0000
   50,     3, .9000
   50,     4, .7000
   50,     5, .7000
   50,     6, .9000
   50,     7, .9000
   50,     8, .8000
   50,     9, .8000
   50,    10, .9000
   50,    11, .8000
   50,    12, .9000
   50,    13, 1.0000
   50,    14, .8000
   50,    15, .4000
   50,    16, .4000
   50,    17, .1000
   50,    18, -.5000
   50,    19, -.9000
   50,    20, -1.0000

   51,     1, 1.0000
   51,     2, .9000
   51,     3, .5000
   51,     4, .9000
   51,     5, .8000
   51,     6, .9000
   51,     7, .7000
   51,     8, .9000
   51,     9, .9000
   51,    10, .8000
   51,    11, .8000
   51,    12, .9000
   51,    13, .9000
   51,    14, .9000
   51,    15, .8000
   51,    16, .6000
   51,    17, .1000
   51,    18, -.3000
   51,    19, -.7000
   51,    20, -1.0000

   52,     1, 1.0000
   52,     2, .8000
   52,     3, .7000
   52,     4, 1.0000
   52,     5, .7000
   52,     6, .7000
   52,     7, .9000
   52,     8, .7000
   52,     9, 1.0000
   52,    10, 1.0000
   52,    11, 1.0000
   52,    12, .8000
   52,    13, .6000
   52,    14, 1.0000
   52,    15, .8000
   52,    16, .7000
   52,    17, -.1000
   52,    18, -.6000
   52,    19, -.7000
   52,    20, -1.0000

   53,     1, .7000
   53,     2, .6000
   53,     3, .7000
   53,     4, .9000
   53,     5, .8000
   53,     6, .6000
   53,     7, .9000
   53,     8, .9000
   53,     9, 1.0000
   53,    10, 1.0000
   53,    11, 1.0000
   53,    12, .9000
   53,    13, .8000
   53,    14, 1.0000
   53,    15, .7000
   53,    16, .6000
   53,    17, .3000
   53,    18, -.1000
   53,    19, -.7000
   53,    20, -.8000

   54,     1, .8000
   54,     2, 1.0000
   54,     3, .6000
   54,     4, 1.0000
   54,     5, .9000
   54,     6, .7000
   54,     7, 1.0000
   54,     8, .9000
   54,     9, 1.0000
   54,    10, 1.0000
   54,    11, .9000
   54,    12, .9000
   54,    13, .8000
   54,    14, .6000
   54,    15, .6000
   54,    16, .9000
   54,    17, .1000
   54,    18, -.3000
   54,    19, -.5000
   54,    20, -.6000

   55,     1, .4000
   55,     2, .9000
   55,     3, .6000
   55,     4, .9000
   55,     5, .9000
   55,     6, .5000
   55,     7, 1.0000
   55,     8, .9000
   55,     9, .9000
   55,    10, 1.0000
   55,    11, .8000
   55,    12, .8000
   55,    13, .7000
   55,    14, .8000
   55,    15, .6000
   55,    16, .8000
   55,    17, .0000
   55,    18, -.1000
   55,    19, -.7000
   55,    20, -.9000

   56,     1, .9000
   56,     2, .9000
   56,     3, .7000
   56,     4, .9000
   56,     5, .9000
   56,     6, .8000
   56,     7, .8000
   56,     8, .9000
   56,     9, .9000
   56,    10, 1.0000
   56,    11, .9000
   56,    12, .8000
   56,    13, .6000
   56,    14, .7000
   56,    15, .8000
   56,    16, .6000
   56,    17, .0000
   56,    18, .0000
   56,    19, -.9000
   56,    20, -.8000

   57,     1, .8000
   57,     2, .8000
   57,     3, .7000
   57,     4, 1.0000
   57,     5, 1.0000
   57,     6, .9000
   57,     7, .7000
   57,     8, .8000
   57,     9, .9000
   57,    10, 1.0000
   57,    11, .8000
   57,    12, .7000
   57,    13, .5000
   57,    14, .7000
   57,    15, .8000
   57,    16, .5000
   57,    17, .1000
   57,    18, -.2000
   57,    19, -.7000
   57,    20, -.7000

   58,     1, .8000
   58,     2, .7000
   58,     3, .9000
   58,     4, .8000
   58,     5, 1.0000
   58,     6, .8000
   58,     7, .6000
   58,     8, .9000
   58,     9, .8000
   58,    10, 1.0000
   58,    11, .9000
   58,    12, .7000
   58,    13, .5000
   58,    14, .9000
   58,    15, .5000
   58,    16, .5000
   58,    17, .1000
   58,    18, -.3000
   58,    19, -.7000
   58,    20, -.8000

   59,     1, .8000
   59,     2, .7000
   59,     3, .8000
   59,     4, .7000
   59,     5, .7000
   59,     6, .8000
   59,     7, .4000
   59,     8, .7000
   59,     9, .7000
   59,    10, 1.0000
   59,    11, .8000
   59,    12, .6000
   59,    13, .5000
   59,    14, .4000
   59,    15, .3000
   59,    16, .1000
   59,    17, .3000
   59,    18, -.4000
   59,    19, -1.0000
   59,    20, -.9000

   60,     1, .9000
   60,     2, .8000
   60,     3, .5000
   60,     4, .6000
   60,     5, .8000
   60,     6, .8000
   60,     7, .5000
   60,     8, .8000
   60,     9, .8000
   60,    10, 1.0000
   60,    11, .7000
   60,    12, .3000
   60,    13, .4000
   60,    14, .3000
   60,    15, -.1000
   60,    16, .4000
   60,    17, -.1000
   60,    18, -.5000
   60,    19, -1.0000
   60,    20, -.5000

   61,     1, .8000
   61,     2, .7000
   61,     3, .5000
   61,     4, .5000
   61,     5, .6000
   61,     6, .8000
   61,     7, .8000
   61,     8, 1.0000
   61,     9, .7000
   61,    10, .8000
   61,    11, .9000
   61,    12, .7000
   61,    13, .5000
   61,    14, .3000
   61,    15, -.1000
   61,    16, .2000
   61,    17, -.1000
   61,    18, -.7000
   61,    19, -1.0000
   61,    20, -.9000

   62,     1, .8000
   62,     2, .9000
   62,     3, .5000
   62,     4, .6000
   62,     5, .5000
   62,     6, .8000
   62,     7, 1.0000
   62,     8, 1.0000
   62,     9, .7000
   62,    10, .7000
   62,    11, .7000
   62,    12, .8000
   62,    13, .6000
   62,    14, .3000
   62,    15, .0000
   62,    16, .2000
   62,    17, .1000
   62,    18, -.6000
   62,    19, -1.0000
   62,    20, -.8000

   63,     1, .8000
   63,     2, .8000
   63,     3, .8000
   63,     4, .7000
   63,     5, .8000
   63,     6, 1.0000
   63,     7, 1.0000
   63,     8, 1.0000
   63,     9, .7000
   63,    10, .7000
   63,    11, .7000
   63,    12, .9000
   63,    13, .6000
   63,    14, .2000
   63,    15, .0000
   63,    16, .2000
   63,    17, -.3000
   63,    18, -.5000
   63,    19, -.9000
   63,    20, -.8000

   64,     1, .8000
   64,     2, .8000
   64,     3, .6000
   64,     4, .8000
   64,     5, .9000
   64,     6, .8000
   64,     7, 1.0000
   64,     8, 1.0000
   64,     9, .6000
   64,    10, .7000
   64,    11, 1.0000
   64,    12, .8000
   64,    13, .5000
   64,    14, .5000
   64,    15, .5000
   64,    16, .3000
   64,    17, -.2000
   64,    18, -.2000
   64,    19, -.5000
   64,    20, -.8000

   65,     1, .9000
   65,     2, 1.0000
   65,     3, .8000
   65,     4, .8000
   65,     5, .9000
   65,     6, 1.0000
   65,     7, 1.0000
   65,     8, .9000
   65,     9, .6000
   65,    10, .8000
   65,    11, 1.0000
   65,    12, 1.0000
   65,    13, .8000
   65,    14, .4000
   65,    15, .7000
   65,    16, .3000
   65,    17, -.4000
   65,    18, -.5000
   65,    19, -.6000
   65,    20, -1.0000

   66,     1, .8000
   66,     2, .8000
   66,     3, .9000
   66,     4, .9000
   66,     5, 1.0000
   66,     6, .9000
   66,     7, 1.0000
   66,     8, .7000
   66,     9, .8000
   66,    10, .8000
   66,    11, .9000
   66,    12, .9000
   66,    13, .5000
   66,    14, .4000
   66,    15, .8000
   66,    16, .6000
   66,    17, .1000
   66,    18, -.4000
   66,    19, -.6000
   66,    20, -.8000

   67,     1, .9000
   67,     2, .9000
   67,     3, .8000
   67,     4, .9000
   67,     5, 1.0000
   67,     6, .8000
   67,     7, .7000
   67,     8, .8000
   67,     9, .8000
   67,    10, .7000
   67,    11, .8000
   67,    12, .9000
   67,    13, .3000
